ep: 1260, loss: 8.738e-02, elps: 2.100
ep: 1270, loss: 1.041e-01, elps: 2.169
ep: 1280, loss: 1.326e-01, elps: 2.136
ep: 1290, loss: 9.439e-02, elps: 2.127
ep: 1300, loss: 7.879e-01, elps: 2.127
ep: 1310, loss: 1.865e-01, elps: 2.135
ep: 1320, loss: 1.363e-01, elps: 2.099
ep: 1330, loss: 1.141e-01, elps: 2.119
ep: 1340, loss: 1.025e-01, elps: 2.124
ep: 1350, loss: 9.099e-02, elps: 2.111
ep: 1360, loss: 8.165e-02, elps: 2.124
ep: 1370, loss: 7.226e-02, elps: 2.126
ep: 1380, loss: 6.606e-02, elps: 2.116
ep: 1390, loss: 1.591e-01, elps: 2.132
ep: 1400, loss: 1.066e-01, elps: 2.077
ep: 1410, loss: 7.302e-02, elps: 2.156
ep: 1420, loss: 1.493e-01, elps: 2.143
ep: 1430, loss: 1.065e-01, elps: 2.145
ep: 1440, loss: 1.214e-01, elps: 2.112
ep: 1450, loss: 6.986e-02, elps: 2.135
ep: 1460, loss: 2.106e-01, elps: 2.160
ep: 1470, loss: 1.068e-01, elps: 2.156
ep: 1480, loss: 6.942e-02, elps: 2.119
ep: 1490, loss: 1.041e-01, elps: 2.113
ep: 1500, loss: 5.786e-02, elps: 2.184
ep: 1510, loss: 5.881e-02, elps: 2.177
ep: 1520, loss: 7.189e-01, elps: 2.138
ep: 1530, loss: 2.638e-01, elps: 2.128
ep: 1540, loss: 1.612e-01, elps: 2.117
ep: 1550, loss: 1.228e-01, elps: 2.121
ep: 1560, loss: 1.050e-01, elps: 2.120
ep: 1570, loss: 9.264e-02, elps: 2.170
ep: 1580, loss: 8.075e-02, elps: 2.190
ep: 1590, loss: 6.891e-02, elps: 2.152
ep: 1600, loss: 1.731e-01, elps: 2.163
ep: 1610, loss: 1.115e-01, elps: 2.126
ep: 1620, loss: 7.454e-02, elps: 2.137
ep: 1630, loss: 7.056e-02, elps: 2.127
ep: 1640, loss: 7.286e-02, elps: 2.132
ep: 1650, loss: 4.619e-02, elps: 2.137
ep: 1660, loss: 8.652e-02, elps: 2.109
ep: 1670, loss: 1.243e-01, elps: 2.105
ep: 1680, loss: 7.074e-02, elps: 2.153
ep: 1690, loss: 5.302e-02, elps: 2.148
ep: 1700, loss: 4.693e-02, elps: 2.127
ep: 1710, loss: 4.334e-02, elps: 2.132
ep: 1720, loss: 9.681e-02, elps: 2.136
ep: 1730, loss: 3.255e-02, elps: 2.118
ep: 1740, loss: 4.895e-02, elps: 2.138
ep: 1750, loss: 7.160e-02, elps: 2.121
ep: 1760, loss: 8.287e-02, elps: 2.152
ep: 1770, loss: 9.274e-02, elps: 2.204
ep: 1780, loss: 7.312e-02, elps: 2.177
ep: 1790, loss: 4.025e-02, elps: 2.419
ep: 1800, loss: 3.015e-02, elps: 3.088
ep: 1810, loss: 1.995e-01, elps: 2.360
ep: 1820, loss: 4.376e-01, elps: 2.382
ep: 1830, loss: 1.783e-01, elps: 2.245
ep: 1840, loss: 9.969e-02, elps: 2.250
ep: 1850, loss: 8.213e-02, elps: 2.196
ep: 1860, loss: 7.775e-02, elps: 2.144
ep: 1870, loss: 8.081e-02, elps: 2.164
ep: 1880, loss: 5.649e-02, elps: 2.145
ep: 1890, loss: 6.823e-02, elps: 2.202
ep: 1900, loss: 4.775e-02, elps: 2.152
ep: 1910, loss: 6.253e-02, elps: 2.149
ep: 1920, loss: 4.134e-01, elps: 2.136
ep: 1930, loss: 1.178e-01, elps: 2.139
ep: 1940, loss: 5.761e-02, elps: 2.154
ep: 1950, loss: 3.793e-02, elps: 2.142
ep: 1960, loss: 3.038e-02, elps: 2.118
ep: 1970, loss: 2.823e-02, elps: 2.136
ep: 1980, loss: 5.540e-02, elps: 2.091
ep: 1990, loss: 1.021e-01, elps: 2.133
ep: 2000, loss: 4.433e-02, elps: 2.118
ep: 2010, loss: 3.312e-02, elps: 2.139
ep: 2020, loss: 2.250e-02, elps: 2.155
ep: 2030, loss: 2.214e-02, elps: 2.155
ep: 2040, loss: 1.794e-01, elps: 2.146
ep: 2050, loss: 1.187e-01, elps: 2.143
ep: 2060, loss: 7.393e-02, elps: 2.118
ep: 2070, loss: 4.179e-02, elps: 2.117
ep: 2080, loss: 4.938e-02, elps: 2.148
ep: 2090, loss: 4.495e-02, elps: 2.127
ep: 2100, loss: 3.581e-02, elps: 2.222
ep: 2110, loss: 2.612e-02, elps: 2.142
ep: 2120, loss: 2.453e-02, elps: 2.142
ep: 2130, loss: 2.011e-02, elps: 2.144
ep: 2140, loss: 3.113e-01, elps: 2.113
ep: 2150, loss: 1.717e-01, elps: 2.133
ep: 2160, loss: 1.174e-01, elps: 2.105
ep: 2170, loss: 5.276e-02, elps: 2.137
ep: 2180, loss: 3.368e-02, elps: 2.117
ep: 2190, loss: 2.639e-02, elps: 2.121
ep: 2200, loss: 2.807e-02, elps: 2.115
ep: 2210, loss: 2.103e-02, elps: 2.131
ep: 2220, loss: 1.949e-02, elps: 2.131
ep: 2230, loss: 2.501e-01, elps: 2.119
ep: 2240, loss: 1.115e-01, elps: 2.125
ep: 2250, loss: 6.498e-02, elps: 2.123
ep: 2260, loss: 3.753e-02, elps: 2.125
